//AttentionCursor
min_size,0.5
change_speed,120
wait_time,3
//CutIn
central_speed,500
normal_speed,5000
central_pos,100
//Deathblow
deathblow_pos_Y,8
deathblow_pos_Z,5
deathblow_speed,6
gravity,500
charge_speed,3
sway_time,3
//Debris
debris_disappear_time,3
debris_addpower,5000
//EnemyAI
bullet_pos,3
bullet_height,3
attack_wait_time,6
attack_time,100
attack_distance,40
avoid_distance,30
//EnemyDied
death_rotate_speed,1000
death_disappear_time,1
//EnemyBullet
shot_speed,60
//SCORE_PLUS
raise_speed,100
font_disappear_time,1
//Building
debris_num,3
stop_time_small1,0.05
stop_time_small2,0.1
