//Player
fire_pos_y,3
fire_pos_z,5
stamina_max,100
stamina_speed,10
origin_velocity,30
raised_velocity,60
speedup_time,5
rangeup_time,5
demirit_time,1
//Camera
radius,15
start_y,6
view_up_max,0.8
view_down_max,0.2
sway_speed,10
sway_speed_horizontal,10
sway_horizontal_max,0.5
sway_angle_max,5
camera_move_speed_x,3
camera_move_speed_y,3
//EnemyMake
near_distance,20
far_distance,30
enemy_max,5
appear_wait_time,6
appear_rate,0.5
A_rate,0.45
B_rate,0.45
//Fire
original_range,20
raised_range,30
//MoveLimit
shift_pos,5
//UIManager
wait_time,3
time_limit,60
//MinMap
max_search_range,130
//TimeDestroy
destroy_time,3
//ScoreManager
building_small_type1_score,100
building_small_type2_score,150
building_small_type3_score,150
building_big_type1_score,200
building_big_type2_score,250
building_big_type3_score,250
enemy_a_score,300
enemy_b_score,300
enemy_c_score,500
bonus,1000
//prefab
//AttentionCursor
min_size,0.5
change_speed,120
wait_time,3
//CutIn
central_speed,500
normal_speed,5000
central_pos,100
//Deathblow
deathblow_pos_Y,8
deathblow_pos_Z,5
deathblow_speed,6
gravity,500
charge_speed,3
sway_time,3
//Debris
debris_disappear_time,3
debris_addpower,5000
//EnemyAI
bullet_pos,3
bullet_height,3
attack_wait_time,6
attack_time,100
attack_distance,40
avoid_distance,30
//EnemyDied
death_rotate_speed,1000
death_disappear_time,1
//EnemyBullet
shot_speed,60
//SCORE_PLUS
raise_speed,100
font_disappear_time,1
//Building
debris_num,3
stop_time_small1,0.05
stop_time_small2,0.1
