//AttentionCursor
min_size,1
change_speed,120
wait_time,3
//CutIn
central_speed,-600
normal_speed,-4800
central_X,100
//Deathblow
deathblow_pos_Y,8
deathblow_pos_Z,5
deathblow_speed,6
charge_speed,3
sway_time,3
//Debris
debris_disappear_time,3
debris_addpower,1000
//EnemyAI
bullet_pos,3
attack_wait_time,2
attack_time,10
attack_distance,30
avoid_distance,40
//EnemyDied
death_rotate_speed,1000
death_disappear_time,1
//EnemyBullet
shot_speed,1
//SCORE_PLUS
raise_speed,100
font_disappear_time,1
//Building
debris_num,3
stop_time_small1,0.05
stop_time_small2,0.1
